HANDLE	BLOCKNAME	EQUIP-DESIGNATION	EQUIP-LOCATION	EQUIP-ELEC-PROP	PRE-DESIGNATION	PRE-DESIGNATION-LOCATION	NEXT-DESIGNATION	NEXT-DESIGNATION-LOCATION	DWG	DATE	NO._OF_CCT'S	PREVIOUS_ID	EQUIP-DESIG.	EQUIP-LOC	FUSE_INPACITY	FUSE_INPACITY1	MOTOR-HP	EQUIP-ID	EQUIP-LOCATION1	EQUIP-PROPERTIES1
'2A15	_U60	BPP31	B1006	50AR/AMB 120/208V/3PH/4W	BTR11	B1006-MEZZ	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (H)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2A00	_U60	BPP30	B1006	200AR/90AMB 120/208V/3PH/4W	BTR11	B1006-MEZZ	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (HH)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'29EB	_U59	BTR11	B1006-MEZZ	30kVA 600V>120/208V 3P/4W	BDIS32	B1006-MEZZ	BPP30/BPP31	B1006	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'29D6	_U100	BDIS32	B1006-MEZZ	60AR/NF 347/600V/3PH/4W	BDIS29	B1001-MEZZ	BTR11	B1006-MEZZ	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 150A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'29C1	_U60	BPP29	B1001	100AR/AMB 347/600V 3P/4W	BDIS28	B1001-5MEZZ	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'29A9	_U60	BPP200	B1002	225AR/50AT 120/208V/3PH/4W	BPP26-BKR62/64/66	   B1002	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2994	_U60	BPP26	B1002	600AR 120/208V/3PH/4W	BTR09	B1002-MEZZ	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'297F	_U59	BTR09	B1002-MEZZ	75kVA 600V>120/208V 3P/4W	BDIS31	B1002-MEZZ	BPP26	B1002	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'296A	_U100	BDIS31	B1002-MEZZ	100AR/NF 347/600V/3PH/3W	BDIS27	B1001-5MEZZ	BTR09	B1002-MEZZ	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 150A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2955	_U95	BDIS29	B1001-MEZZ	60AR/AT 347/600V/3PH/4W	BSPT05	B1001-MEZZ	BDIS32	B1006-MEZZ	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2940	_U95	BDIS28	B1001-MEZZ	100AR/AT 347/600V/3PH/3W	BSPT05	B1001-MEZZ	BPP29	B1001	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'292B	_U95	BDIS27	B1001-MEZZ	90AR/AT 347/600V/3PH/3W	BSPT05	B1001-MEZZ	BDIS31	B1002-5MEZZ	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2916	_U60	BPP27	B1001	400AR 120/208V/3PH/4W	BTR10	B1001-5MEZZ	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2901	_U60	BPP28	B1001	100AR 120/208V/3PH/4W	BTR10	B1001-5MEZZ	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'28EC	_U59	BTR10	B1001-MEZZ	112.5kVA 600V>120/208V 3P/4W	BDIS26	B1001-MEZZ	BPP27/BPP28	B1028-1	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'28D7	_U95	BDIS26	B1001-MEZZ	125AR/AT 347/600V/3PH/3W	BSPT05	B1001-MEZZ	BTR10	B1001-MEZZ	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'28BF	_U98	APP39	A2002	450AR/350AT 120/208V/3PH/4W	AMDP01-CELL04-AMB48	    A1005	MULTIFEEDS SEE LEGEND		DWG. A ELEC SLD	02/18/2011	# CCT:N/A	PREV. ID: (CNE4)	BSPT05	B1001-MEZZ	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'28AA	_U101	BMB26	B1041-4	600AR/300AT 347/600V/3PH/3W	BSDP02	B1041-4	BSDP05	B1001-MEZZ	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2894	_U60	BPP84	B2029	225AR/100AF/AMB 120/208V/3PH/4W	BDIS158	B3003-1	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'287F	_U60	BPP89	B3003-1	70AR/AMB 120/208V/3PH/4W	BSPT23	B3003-1	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
